164592	70536
203364	201788
159979	124657
86909	222322
75730	172723
210762	253332
256013	103418
53377	95722
184603	228189
269717	277859
3840	160547
166673	143032
126192	21107
134641	169041
110245	244771
120893	173629
167910	208763
164666	262140
239872	164839
245881	213676
79968	217517
266495	102286
152026	228478
162215	142239
173845	252484
76295	152498
11196	38504
49516	264194
23701	222162
165052	186140
142502	266108
59620	29820
119769	181846
262050	62157
9564	15123
62873	91418
68932	102614
1849	213154
257931	236856
115045	181028
246859	102651
32382	162271
42239	136
280575	41307
97343	50871
6739	174769
68633	22821
169031	24670
91863	698
175834	176767
4185	141722
98645	235128
2044	277367
148314	276039
74838	152502
77508	159241
171597	6994
147420	237049
54493	47008
38567	1963
203669	6148
250542	165817
177782	228886
166182	95296
195890	231158
55589	87787
151081	259384
269394	124900
130473	240417
114299	278984
213867	261773
234278	9531
207912	187313
177010	132616
140243	107626
35098	224239
89194	93416
211308	141930
6663	51523
191955	165822
97305	158810
8804	111184
147145	98216
232467	275227
192206	194590
162224	229689
220028	36979
255313	27408
255641	34071
214483	5146
10550	102452
7366	111256
135761	258401
169566	269989
54083	180291
168274	60611
224800	280640
153862	33169
224854	67930
65466	510
71900	11060
16264	79450
71812	215211
225576	163898
151784	279005
272582	165376
280141	108272
164823	262135
76914	205085
23076	49671
35408	121571
150193	198859
155354	270671
198036	275368
167780	145248
96935	196950
86701	256211
197252	139130
279947	216044
209693	18240
200973	114673
264337	264866
125247	199340
41513	115472
121676	62372
137917	159307
159678	25129
7808	222381
118072	281448
273566	209238
196828	189331
241661	171765
264473	76132
276053	117645
60217	239322
50653	156359
238039	34134
117828	41942
136748	221038
150832	212701
244180	127625
109274	148406
18353	130975
187797	125125
190809	246366
256193	15116
260005	32275
7042	150104
37484	65972
67471	277828
24791	240104
232467	67474
109124	146852
890	113769
71325	22674
99178	57987
62510	97113
280857	104155
99385	141640
138952	209111
170340	13022
108473	24610
195012	133734
191647	195648
31502	266973
178748	84247
120230	146758
32964	206735
217849	85240
125779	3313
90656	173653
13734	223
65311	256259
42859	166002
134177	258529
27288	155373
39411	275604
148647	87688
80135	23633
275310	210436
54765	80213
251194	93947
